HBIM Data Element ID,Data Quality Requirement ID,DQ Dimension ID,Applies to Concept Resource ID,Extract Timestamp
2dd85061-dffa-40bc-a191-92ec37b7108a,6d427697-36b1-4ff1-b1a2-9a7e9b066d0e,Conformity,468998fc-8380-4df8-b5c8-b0b6c3a2754b,Fri Feb 19 05:32:15 HKT 2021
2dd85061-dffa-40bc-a191-92ec37b7108a,a2e205dc-57e4-4292-960f-00925ea8b363,Validity,468998fc-8380-4df8-b5c8-b0b6c3a2754b,Fri Feb 19 05:32:15 HKT 2021
2dd85061-dffa-40bc-a191-92ec37b7108a,485e1341-c279-4112-8b8c-5db8de4d0d9b,Completeness,f1a19e67-df5d-423f-841f-066601ddf236,Fri Feb 19 05:32:15 HKT 2021
2dd85061-dffa-40bc-a191-92ec37b7108a,b2900c46-5ba2-44c5-9ddd-530c71e0d659,Conformity,468998fc-8380-4df8-b5c8-b0b6c3a2754b,Fri Feb 19 05:32:15 HKT 2021
f8b5a8c4-5500-4040-a97d-a80095338b89,dae67d6b-2919-4304-9f66-1428b9f84810,Conformity,757f4947-268b-4425-bc12-6f5785b592c2,Fri Feb 19 05:32:15 HKT 2021
f8b5a8c4-5500-4040-a97d-a80095338b89,92121d4f-2734-4f8a-aaa3-191a77e75644,Completeness,1877f822-1f2d-4a5e-a76d-8a7930038143,Fri Feb 19 05:32:15 HKT 2021
21507150-692a-48bb-882b-fb199665165b,4db95705-6e91-4957-9ca3-a556fac89b3f,Conformity,8e095f44-61e4-49ba-a6ef-e390c0a06eec,Fri Feb 19 05:32:15 HKT 2021
21507150-692a-48bb-882b-fb199665165b,a5c401c9-e661-417f-a275-12870b137976,Conformity,,Fri Feb 19 05:32:15 HKT 2021
21507150-692a-48bb-882b-fb199665165b,5599d4a9-ffe1-42c0-bbaa-072c661c4feb,Completeness,,Fri Feb 19 05:32:15 HKT 2021
664eea28-5a4a-4924-b730-64c2564b050e,493cae31-bd1e-4b50-8279-a07788e18e77,Validity,a180ab85-ca7f-4fdd-868e-481ab47a06fc,Fri Feb 19 05:32:15 HKT 2021
664eea28-5a4a-4924-b730-64c2564b050e,a54313d9-267a-4b29-9bf4-fd759bfe4300,Completeness,9edf497e-d41f-4a06-aa1c-3773d8cbd7b5,Fri Feb 19 05:32:15 HKT 2021
664eea28-5a4a-4924-b730-64c2564b050e,112289d7-9a9f-4241-855f-ab47f19124e5,Accuracy,9edf497e-d41f-4a06-aa1c-3773d8cbd7b5,Fri Feb 19 05:32:15 HKT 2021
664eea28-5a4a-4924-b730-64c2564b050e,3e96b622-eb4e-4a0d-afb2-01bc50f26b74,Validity,a39dadf1-ae6c-47aa-a899-825d82a3bd9a,Fri Feb 19 05:32:15 HKT 2021
664eea28-5a4a-4924-b730-64c2564b050e,7b06ddb0-895c-40ad-9c96-96fc875caee3,Conformity,a39dadf1-ae6c-47aa-a899-825d82a3bd9a,Fri Feb 19 05:32:15 HKT 2021
03f975e7-6080-4f1f-a08d-f24b68087e75,da0815c2-3704-409b-8391-1a1ab80f5d07,Accuracy,9edf497e-d41f-4a06-aa1c-3773d8cbd7b5,Fri Feb 19 05:32:15 HKT 2021
03f975e7-6080-4f1f-a08d-f24b68087e75,cde89249-ce68-4a11-b658-091bfc188add,Conformity,c76c2a14-03a2-49dc-a590-b7a7fb0a7cfb,Fri Feb 19 05:32:15 HKT 2021
03f975e7-6080-4f1f-a08d-f24b68087e75,ddf8bbac-b4c5-43de-adb6-7524a4414b22,Completeness,bb35b6fa-7d85-4a94-baf7-695fa783e7b8,Fri Feb 19 05:32:15 HKT 2021
666fe1a2-0bc1-4456-aa08-17e44a1d8f0b,2a01a66b-f2c5-43ac-b9ea-20d52858f9a0,Conformity,a180ab85-ca7f-4fdd-868e-481ab47a06fc,Fri Feb 19 05:32:15 HKT 2021
666fe1a2-0bc1-4456-aa08-17e44a1d8f0b,613b8986-1895-4206-b4c6-4151154ea56e,Conformity,a180ab85-ca7f-4fdd-868e-481ab47a06fc,Fri Feb 19 05:32:15 HKT 2021
666fe1a2-0bc1-4456-aa08-17e44a1d8f0b,493cae31-bd1e-4b50-8279-a07788e18e77,Validity,a180ab85-ca7f-4fdd-868e-481ab47a06fc,Fri Feb 19 05:32:15 HKT 2021
666fe1a2-0bc1-4456-aa08-17e44a1d8f0b,03d32085-e793-4126-8282-a5fdcfe6fa2f,Completeness,ed9fbc20-6f3e-4ca3-9297-79e731166f49,Fri Feb 19 05:32:15 HKT 2021
666fe1a2-0bc1-4456-aa08-17e44a1d8f0b,984745da-5b39-431c-844d-1a095b868691,Uniqueness,a180ab85-ca7f-4fdd-868e-481ab47a06fc,Fri Feb 19 05:32:15 HKT 2021
2aabb666-5577-4340-b589-0d654be5d174,075e31db-5998-4de0-8f56-df90a4215a47,Conformity,6075b5e8-f326-4e7e-bf3f-ce92a911fe92,Fri Feb 19 05:32:15 HKT 2021
2aabb666-5577-4340-b589-0d654be5d174,6b04d35b-e362-46d7-8298-23c8dd0a2686,Completeness,f193a39f-37eb-4eb5-b55b-7a2f5b62c496,Fri Feb 19 05:32:15 HKT 2021
2aabb666-5577-4340-b589-0d654be5d174,844357be-79fb-4607-b3fa-b5ec8037fc65,Validity,6075b5e8-f326-4e7e-bf3f-ce92a911fe92,Fri Feb 19 05:32:15 HKT 2021
055420c9-2049-4a31-9d2c-dd5cac8b1f5f,ea8d52e7-1d20-4969-80db-9074ea81188d,Completeness,f193a39f-37eb-4eb5-b55b-7a2f5b62c496,Fri Feb 19 05:32:15 HKT 2021
055420c9-2049-4a31-9d2c-dd5cac8b1f5f,844357be-79fb-4607-b3fa-b5ec8037fc65,Validity,6075b5e8-f326-4e7e-bf3f-ce92a911fe92,Fri Feb 19 05:32:15 HKT 2021
055420c9-2049-4a31-9d2c-dd5cac8b1f5f,075e31db-5998-4de0-8f56-df90a4215a47,Conformity,6075b5e8-f326-4e7e-bf3f-ce92a911fe92,Fri Feb 19 05:32:15 HKT 2021
d108ef3f-b979-48f6-95ef-7eff0d043661,fe398449-c521-4138-8526-d778639a5c30,Validity,733ecab1-3ebe-4d70-b05a-11185f7f863d,Fri Feb 19 05:32:15 HKT 2021
d108ef3f-b979-48f6-95ef-7eff0d043661,f247d49e-6294-482d-bdca-7f69fcfc982e,Completeness,45fa6336-dcca-43af-bb53-ec8da728830d,Fri Feb 19 05:32:15 HKT 2021
9d096fda-dded-4d4d-8e37-a1bb3bc1d1a8,1b1a305e-6fe0-4c5c-ac35-1e33e403ea26,Uniqueness,9386229f-2b04-479c-89cd-be5e1bcd91a9,Fri Feb 19 05:32:15 HKT 2021
9d096fda-dded-4d4d-8e37-a1bb3bc1d1a8,228f4c0b-116b-47f4-81d9-3d605712088b,Completeness,9edf497e-d41f-4a06-aa1c-3773d8cbd7b5,Fri Feb 19 05:32:15 HKT 2021
9d096fda-dded-4d4d-8e37-a1bb3bc1d1a8,bac11476-51ea-4a93-8e5e-2e5d12184ef8,Conformity,9386229f-2b04-479c-89cd-be5e1bcd91a9,Fri Feb 19 05:32:15 HKT 2021
9d096fda-dded-4d4d-8e37-a1bb3bc1d1a8,7bfdfbd3-ed7e-478a-abe5-8997709a19e1,Accuracy,9edf497e-d41f-4a06-aa1c-3773d8cbd7b5,Fri Feb 19 05:32:15 HKT 2021
9d096fda-dded-4d4d-8e37-a1bb3bc1d1a8,493cae31-bd1e-4b50-8279-a07788e18e77,Validity,a180ab85-ca7f-4fdd-868e-481ab47a06fc,Fri Feb 19 05:32:15 HKT 2021
ac641381-6513-45a0-8f98-2c3349b5b852,493cae31-bd1e-4b50-8279-a07788e18e77,Validity,a180ab85-ca7f-4fdd-868e-481ab47a06fc,Fri Feb 19 05:32:15 HKT 2021
ac641381-6513-45a0-8f98-2c3349b5b852,b7f2436a-04cf-4f06-9261-9c1c638f3eb4,Completeness,b5cda5f5-9d01-4b2c-a592-bdb90ce7c8d6,Fri Feb 19 05:32:15 HKT 2021
ac641381-6513-45a0-8f98-2c3349b5b852,bac11476-51ea-4a93-8e5e-2e5d12184ef8,Conformity,9386229f-2b04-479c-89cd-be5e1bcd91a9,Fri Feb 19 05:32:15 HKT 2021
05405fbe-109a-4a20-8ec1-aeb2b0e6c21b,2f586a2a-bde0-4e69-b7c8-995640972559,Completeness,db8e2edf-8895-4f90-9a15-4dd6d96af9fb,Fri Feb 19 05:32:15 HKT 2021
05405fbe-109a-4a20-8ec1-aeb2b0e6c21b,2a01a66b-f2c5-43ac-b9ea-20d52858f9a0,Conformity,a180ab85-ca7f-4fdd-868e-481ab47a06fc,Fri Feb 19 05:32:15 HKT 2021
05405fbe-109a-4a20-8ec1-aeb2b0e6c21b,493cae31-bd1e-4b50-8279-a07788e18e77,Validity,a180ab85-ca7f-4fdd-868e-481ab47a06fc,Fri Feb 19 05:32:15 HKT 2021
0c8e72dd-659f-4851-9270-0d4195785481,93553bc3-dcd4-43e3-b5f6-6aa32547d973,Completeness,883117d1-5431-4179-9dc9-d4319d0c01da,Fri Feb 19 05:32:15 HKT 2021
6643fa1a-b0af-43ef-9b81-f817612ddf36,38862251-e5f9-430e-bdf5-f13c31043505,Completeness,30e0b1c6-9feb-4886-a6f0-226134944d8e,Fri Feb 19 05:32:15 HKT 2021
6643fa1a-b0af-43ef-9b81-f817612ddf36,b907508c-0021-4414-99ef-e7cb98bde15b,Conformity,41df371b-d964-46db-8e25-0cb165c6825a,Fri Feb 19 05:32:15 HKT 2021
804707bb-4c59-4002-9754-f0c3b1b0406b,b907508c-0021-4414-99ef-e7cb98bde15b,Conformity,41df371b-d964-46db-8e25-0cb165c6825a,Fri Feb 19 05:32:15 HKT 2021
804707bb-4c59-4002-9754-f0c3b1b0406b,42df0462-f9c9-49c9-a8e7-d0ddd3908552,Accuracy,45e38734-84a5-419f-b6b4-7f1b7f65ed32,Fri Feb 19 05:32:15 HKT 2021
804707bb-4c59-4002-9754-f0c3b1b0406b,1373011f-a457-4e4a-b84e-5b19554730ea,Completeness,45e38734-84a5-419f-b6b4-7f1b7f65ed32,Fri Feb 19 05:32:15 HKT 2021
f97f27c5-d948-4eb1-bdb4-7c061f005c3c,4d848a89-6f54-48fa-9431-3a1727e4eb28,Conformity,24d57c33-c0e8-42fc-8579-bfa7629770f7,Fri Feb 19 05:32:15 HKT 2021
f97f27c5-d948-4eb1-bdb4-7c061f005c3c,601f5b02-8aaa-42ec-8d9e-2235d04d888c,Accuracy,e8d7149f-1927-4eae-83ca-0c88edfb170f,Fri Feb 19 05:32:15 HKT 2021
f97f27c5-d948-4eb1-bdb4-7c061f005c3c,dde3d284-df6d-449e-90cd-126bccaf0e45,Completeness,e8d7149f-1927-4eae-83ca-0c88edfb170f,Fri Feb 19 05:32:15 HKT 2021
f97f27c5-d948-4eb1-bdb4-7c061f005c3c,f8b62bcf-a2c8-4745-9915-a1805e9672fc,Validity,24d57c33-c0e8-42fc-8579-bfa7629770f7,Fri Feb 19 05:32:15 HKT 2021
e52ba944-b7e1-4c07-ba04-73de0dbe6eaa,cddd73f3-10eb-4be6-9881-81eb2a220a1d,Conformity,ba1ebb6a-1fc6-4153-9bf5-91790db653df,Fri Feb 19 05:32:15 HKT 2021
e52ba944-b7e1-4c07-ba04-73de0dbe6eaa,f426e07d-10d7-48ed-a3f0-91fe4892769d,Completeness,0f3027c1-ba47-4060-8c23-bd510f171f21,Fri Feb 19 05:32:15 HKT 2021
e52ba944-b7e1-4c07-ba04-73de0dbe6eaa,b936ce06-fc78-4e2f-927a-1e742d40e073,Accuracy,0f3027c1-ba47-4060-8c23-bd510f171f21,Fri Feb 19 05:32:15 HKT 2021
c89ef15a-99dc-4027-9160-09f0ca9e300b,26d6e2bb-6da9-4c61-822f-5936963271df,Completeness,1105d517-bdce-4771-ab09-d7a3e2412c93,Fri Feb 19 05:32:15 HKT 2021
