de_name,dd_name,dd_l0,dd_l1,dd_l2,dd_l3,domain_path,dqr_published_indicator,dqr_target,dq_name,dq_qr_rule,dq_dimension,dq_target
date of birth [individual given identity],Identification Data,Party Data,Individual Data,Identification Data,,Party Data_Individual Data_Identification Data__date of birth [individual given identity],true,0.985,GPB_540662_CMP001_18dd0716-94ba-4db9-9346-92c3a46e5817,Must not be blank,Completeness,0.95
date of birth [individual given identity],Identification Data,Party Data,Individual Data,Identification Data,,Party Data_Individual Data_Identification Data__date of birth [individual given identity],true,0.985,GPB_714101_CMP001_18dd0716-94ba-4db9-9346-92c3a46e5817,Must not be blank,Completeness,0.95
date of birth [individual given identity],Identification Data,Party Data,Individual Data,Identification Data,,Party Data_Individual Data_Identification Data__date of birth [individual given identity],true,0.985,GPB_243585_CMP001_18dd0716-94ba-4db9-9346-92c3a46e5817,Must not be blank,Completeness,0.95
date of birth [individual given identity],Identification Data,Party Data,Individual Data,Identification Data,,Party Data_Individual Data_Identification Data__date of birth [individual given identity],true,0.985,GPB_243556_CMP001_18dd0716-94ba-4db9-9346-92c3a46e5817,Must not be blank,Completeness,0.95
date of birth [individual given identity],Identification Data,Party Data,Individual Data,Identification Data,,Party Data_Individual Data_Identification Data__date of birth [individual given identity],true,0.985,GPB_243052_CMP001_18dd0716-94ba-4db9-9346-92c3a46e5817,Must not be blank,Completeness,0.95
date of birth [individual given identity],Identification Data,Party Data,Individual Data,Identification Data,,Party Data_Individual Data_Identification Data__date of birth [individual given identity],false,0.995,GPB_1218024_CMP001_18dd0716-94ba-4db9-9346-92c3a46e5817,Must not be blank,Completeness,0.95
date of birth [individual given identity],Identification Data,Party Data,Individual Data,Identification Data,,Party Data_Individual Data_Identification Data__date of birth [individual given identity],true,0.985,GPB_243584_CMP001_18dd0716-94ba-4db9-9346-92c3a46e5817,Must not be blank,Completeness,0.95
financial security [financial security listing],Financial Security Data,Product Data,Financial Security Data,,,Product Data_Financial Security Data___financial security [financial security listing],true,0.975,GPB_1218024_CMP001_1a1563b4-4937-47df-9c97-b183da1f21e0,Must not be blank,Completeness,0.95
additional locality name [individual residential address],Postal Address Data,Location Data,Address Data,Postal Address Data,,Location Data_Address Data_Postal Address Data__additional locality name [individual residential address],true,0.985,GPB_243053_CMP001_632a802d-2564-4159-bbf6-fcb3b869ddbe,Must not be blank,Completeness,0.95
additional locality name [individual residential address],Postal Address Data,Location Data,Address Data,Postal Address Data,,Location Data_Address Data_Postal Address Data__additional locality name [individual residential address],true,0.985,GPB_243584_CMP001_632a802d-2564-4159-bbf6-fcb3b869ddbe,Must not be blank,Completeness,0.95
